uid,mflcode,facility,level,ward,subcounty,county
GoSomFxgCrE,10416,kahara medical clinic,5,Mukurwe-ini West Ward,Mukurweini Sub County,Nyeri County
JtRErkOCn4n,22293,Phoenix Healthcare,5,Maua Ward,Igembe South Sub County,Meru County
eAI2HbFDx2b,22609,ACK Nguni Annex Clinic,5,Nguni Ward,Mwingi Central Sub County,Kitui County
DzJW2RGOecN,22660,Runogone Dispensary,5,Nyaki West Ward,Imenti North Sub County,Meru County
GUKZuRV8Jdp,22686,Brightstar Medical Centre,5,Umoja II Ward,Embakasi West Sub County,Nairobi County
l7RRXDS1pbv,22672,Githima Dispensary,5,Konyu Ward,Mathira East Sub County,Nyeri County
jv1ksxlUZNP,22689,Gathumbi Dispensary,5,Karatina Town Ward,Mathira East Sub County,Nyeri County
l8hZrEbx16b,22690,Kianjogu Dispensary,5,Kirimukuyu Ward,Mathira West Sub County,Nyeri County
TNq2Uo8qb5T,22692,Cieni Dispensary,5,Ruguru Ward,Mathira West Sub County,Nyeri County
YKS2COepM3L,22772,Aga Khan University Hosp Mother & Child Clinic,5,Komarock Ward,Embakasi Central Sub County,Nairobi County
km63b6bDDSw,22769,Well Living Medical Centre,5,Matopeni/Spring Valley Ward,Embakasi Central Sub County,Nairobi County
uPPY2OWVTlo,22568,Twiga Dispensary,5,Chepchoina Ward,Endebess Sub County,Trans Nzoia County
zgh2xKB6gUo,22038,Kiburuti Dispensary,5,Wanjohi Ward,Kipipiri Sub County,Nyandarua County
EVGtiyRCiFL,22564,Tumaini Dice,5,Masogo/Nyang'oma Ward,Muhoroni Sub County,Kisumu County
A9fv6FNhoFe,21907,Kericho Women's Clinic,5,Kipchebor Ward,Ainamoi Sub County,Kericho County
lhkL7lSLsIo,17673,Jemojeji Dispensary,5,Banja Ward,Hamisi Sub County,Vihiga County
SprmWjzmqev,22228,Nzalae Dispensary,5,Nguutani Ward,Mwingi West Sub County,Kitui County
EpbpxXb4fap,22910,Mukuthu Dispensary,5,Kiomo/Kyethani Ward,Mwingi West Sub County,Kitui County
ck6TGbRkYFg,,UnknownNamocha Dispensary,5,Mai Mahiu Ward,Naivasha Sub County,Nakuru County
eGpcUj3TsmF,23314,Ndoroto Dispensary,5,Naivasha East Ward,Naivasha Sub County,Nakuru County
pq4s3oVul0I,23317,Kayole Dispensary,5,Lake View Ward,Naivasha Sub County,Nakuru County
Ta8zRQhDs6G,21901,Kiaga Dispensary,5,Kanyekini Ward,Kirinyaga Central Sub County,Kirinyaga County
sz4l6w8c6L6,22225,Nyanyaa Dispensary,5,Waita Ward,Mwingi Central Sub County,Kitui County
WN8nDdz71ml,22677,Mwangea Dispesary (Kinango),5,Chengoni/Samburu Ward,Kinango Sub County,Kwale County
fXHhSQUSl8V,22379,Kemunchugu Dispensary,5,Bokeira Ward,Nyamira North Sub County,Nyamira County
xlyp7x7YAGK,20292,Kiomara Dispensary,5,Bokeira Ward,Nyamira North Sub County,Nyamira County
cHCvPJmucz0,20289,Nyabweri Dispensary,5,Bomwagamo Ward,Nyamira North Sub County,Nyamira County
GfEJptgFb4q,22795,Holsoms Nursing Home,5,Kamera Ward,Manga Sub County,Nyamira County
TrFrcplsqii,22764,Rungut dispensary,5,Litein Ward,Bureti Sub County,Kericho County
gcHhb3D3ViM,22153,Saint Gabriel Hospital And Wellness Centre,5,Litein Ward,Bureti Sub County,Kericho County
IyKvH0rBqjM,22500,Bukokholo Dispensary,5,Lwandanyi Ward,Sirisia Sub County,Bungoma County
uEfITYKbiDk,22519,Namang'ofulo Dispensary,5,Malakisi/South Kulisiru Ward,Sirisia Sub County,Bungoma County
XUgjfxqOyvu,21968,Marathi dispensary,5,Abothuguchi West Ward,Imenti Central Sub County,Meru County
e0fDjkaVI65,21974,Runywene Dispensary,5,Mwangathia Ward,Imenti Central Sub County,Meru County
Al6DGyCfZfo,22806,Dago Kokore Health Centre,5,Kisumu North Ward,Kisumu West Sub County,Kisumu County
Bf4qf4dYB91,22805,South C Dialysis Centre Limited,5,South C Ward,Langata Sub County,Nairobi County
li2d1is2Hhu,22117,Hayat Hospital,5,Pangani Ward,Starehe Sub County,Nairobi County
lFDwFBdhXi9,22783,Malombe Dispensary,5,Jepkoyai Ward,Hamisi Sub County,Vihiga County
gkXRF2xfnOh,22074,Dadas VCT,5,Uthiru/Ruthimitu Ward,Dagoretti South Sub County,Nairobi County
fj2BF4VYjlk,21910,Mewa Drop in Centre,5,Mjambere Ward,Kisauni Sub County,Mombasa County
KZsc74UUu7B,21998,Jope Medical Clinic,5,Shanzu Ward,Kisauni Sub County,Mombasa County
LHURNutyiVZ,20971,Nyaani Dispensary (Kaiti),5,Kilungu Ward,Kaiti Sub County,Makueni County
AZeKGNUGiED,22605,Inkariak Ronkena Dispensary,5,Kimana Ward,Loitokitok Sub County,Kajiado County
SC3NnIGa5u0,22786,Kapkoros Dispensary,5,Kapsaos Ward,Turbo Sub County,Uasin Gishu County
MQNJWWnXp35,22815,Gynocare womens &fistula hospital,5,Huruma Ward,Turbo Sub County,Uasin Gishu County
yhBIZvfnvT6,19802,Afya Medical Clinic,5,Leshau/Pondo Ward,Ndaragwa Sub County,Nyandarua County
jKpBTVgbASi,22380,Sere Dispensary,5,Ekerenyo Ward,Nyamira North Sub County,Nyamira County
ThMmQ9K9bsc,22382,Nyamusi Medical Centre,5,Bokeira Ward,Nyamira North Sub County,Nyamira County
Zy7G6U1Aebe,22649,Sirende Medical Clinic,5,Sirende Ward,Kiminini Sub County,Trans Nzoia County
XOM57FxCAsv,23445,Kamwaura Dispensary,5,Njoro Ward,Njoro Sub County,Nakuru County
JmPkUYqanqc,19507,Upendo Medical Clinic,5,Kitisuru Ward,Westlands Sub County,Nairobi County
rRNblh2GSbv,22542,Oasis Mission Hospital,5,Witeithie Ward,Juja Sub County,Kiambu County
gJxc6XfXtkW,22552,Loyal Care Medical Centre,5,Witeithie Ward,Juja Sub County,Kiambu County
vbTXwTtyO3p,22303,ACK Otaro Community Dispensary,5,Homa Bay East Ward,Homa Bay Town Sub County,Homa Bay County
owCKOWtHBIS,22305,Homabay Central Medical Clinic,5,Homa Bay Central Ward,Homa Bay Town Sub County,Homa Bay County
TSOBNmqRwHS,,Flame Tree Chemist,5,Mountain View Ward,Westlands Sub County,Nairobi County
Xj5UCyq030p,,Nila Chemist-Tom Mboya,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
iHtlx7o2CAl,,Nila Chemist W&R-Ronald Ngala Street,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
e6A37uCtmiH,,Nila Chemist Wholesale & Retail-Mfangano Street,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
GyzlDnZQ3Yq,,Nila Pharmaceuticals-Mfangano Street,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
u9fvEWW52GF,,Nila Pharmaceuticals-River Road,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
MaU3gDojL2T,,Rangechem Pharmaceuticals-Mfangano Street,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
ndvaL9fTrFL,,Inkamed Pharmaceutical Ltd-Aga Khan Walk,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
p8viEaWtThQ,,Njimia Pharmaceuticals-Buruburu,5,Harambee Ward,Makadara Sub County,Nairobi County
rGEeHRdM1hR,,Njimia Pharmaceuticals Ltd-Langata,5,Karen Ward,Langata Sub County,Nairobi County
WkV0tJcE7Oy,,Njimia Pharmacy-Eastleigh,5,Eastleigh North Ward,Kamukunji Sub County,Nairobi County
xgtEi6fthYO,xgtEi6fthYO,Njimia Pharmaceutical-Rongai,5,Nkaimurunya Ward,Kajiado North Sub County,Kajiado County
MV1e81zzlvs,,Pharmaplus Pharmacy(Kitengela),5,Oloosirkon/Sholinke Ward,Kajiado East Sub County,Kajiado County
DlLmXKwhQLJ,,Easton Pharmacy (Uchumi House),5,Nairobi Central Ward,Starehe Sub County,Nairobi County
hGb6cBedOiR,,Easton Pharmacy Ltd-Langata,5,Karen Ward,Langata Sub County,Nairobi County
qyC8eoi51t3,,Lenana Pharmaceuticals Ltd-Kitengela,5,Kitengela Ward,Kajiado East Sub County,Kajiado County
KKX2vgJR4cb,20911,Itibet Dispensary,5,Kaplelartet Ward,Sigowet/Soin Sub County,Kericho County
lBRyclGgk78,22842,Medicross Limited Langata Mall(Mugumoini),5,Mugumo-ini Ward,Langata Sub County,Nairobi County
GVj7FwVVJW5,22619,Koinange Dispensary,5,Githabai Ward,Kinangop Sub County,Nyandarua County
wY8uknrqbIY,22332,Avenue Health Care (Garden City Mall),5,Babandogo Ward,Ruaraka Sub County,Nairobi County
G41ZXYfQ4U6,22756,Gift Medical Clinic,5,Ziwa La Ng'ombe Ward,Nyali Sub County,Mombasa County
i1RgqfNKsXv,22145,Nyaronde Dispensary,5,Nyansiongo Ward,Borabu Sub County,Nyamira County
WXYu33Tz4B6,22042,Nyangori Dispensary,5,Gachuba Ward,Masaba North Sub County,Nyamira County
aEyBjqE1A2p,23606,Garissa GK Prison Medium,5,Iftin Ward,Garissa Sub County,Garissa County
FnF4vKmaGc4,22854,Hopkins Medical Clinic,5,Clay City Ward,Kasarani Sub County,Nairobi County
uhNFQITyFnB,22848,Uzima Uhai Health centre,5,Mwiki Ward,Kasarani Sub County,Nairobi County
VDo8ueN5MiE,22855,Selina's Health Care,5,Kariobangi North Ward,Embakasi North Sub County,Nairobi County
xGeS7lirCDx,22856,Dornaled Community Health centre and Maternity,5,Njiru Ward,Kasarani Sub County,Nairobi County
QdXBJMDuLh5,22863,BHESP MOWLEM DICE CLINIC,5,Mowlem Ward,Embakasi West Sub County,Nairobi County
FTVmVryLXiE,22866,Africare Ltd NHIF clinic,5,Woodley/Kenyatta Golf Course Ward,Kibra Sub County,Nairobi County
xQydxFOkeOq,22703,Gakurwe Health Services,5,Gaturi Ward,Kiharu Sub County,Muranga County
JoOrvX7IVkz,22526,Ndovoini nguumo,5,Nguumo Ward,Kibwezi West Sub County,Makueni County
ooFjhasjJxh,22648,Primecare medical centre,5,Sirende Ward,Kiminini Sub County,Trans Nzoia County
YD2PyGMwhqC,,Closed_Duplicate_Muvuko Dispensary,5,Mutomo Ward,Kitui South Sub County,Kitui County
kF1XVdCPpMC,22473,Rithika Medical and Counselling Centre Kangeta,5,Kangeta Ward,Igembe Central Sub County,Meru County
EaZXPUm5Upk,22880,Kirima Ndungiri Dispensary,5,Kabazi Ward,Subukia Sub County,Nakuru County
oBgVI4zmc64,21790,St. Annah Medical Clinic,5,Kiamaina Ward,Nakuru North Sub County,Nakuru County
FsLuPqhTGZX,22582,KEMRI Medical Clinic,5,Ang'orom Ward,Teso South Sub County,Busia County
GfVcriw6yYC,22089,Posta Lanet Medical Clinic,5,Lanet/Umoja Ward,Nakuru North Sub County,Nakuru County
BG2eNnUGoda,22097,Paradise Medical Clinic,5,Dundori Ward,Nakuru North Sub County,Nakuru County
JwQME7mQxxw,22762,Hope Care Medical Clinic,5,Ongata Rongai Ward,Kajiado North Sub County,Kajiado County
GE6CXhMkNlw,22682,Medicross Hospital,5,London Ward,Nakuru West Sub County,Nakuru County
UgsWPRHUXKJ,22886,Alexandria Cancer Centre & Palliative Care Hospital,5,London Ward,Nakuru West Sub County,Nakuru County
ZLWW4U0YIOu,22751,Nakuru West( A.I.P.C.A) Medical Centre,5,Kaptembwo Ward,Nakuru West Sub County,Nakuru County
rxRgjqTcEZH,22700,Divine Medical Clinic,5,Rhoda Ward,Nakuru West Sub County,Nakuru County
JYYJCp3QMBw,22895,Kilele Medical Specialist Centre,5,Maringo/Hamza Ward,Makadara Sub County,Nairobi County
m4qA6HpvQlA,22874,mogindo dispensary,5,Ndaraweta Ward,Bomet Central Sub County,Bomet County
WEUJ07JBWMz,22022,kabungut dispensary,5,Singorwet Ward,Bomet Central Sub County,Bomet County
QPrCJBsYdDI,22443,Optimum current health care,5,Biashara Ward,Nakuru East Sub County,Nakuru County
gDXt0fAUD0F,22444,Linax Medical Centre,5,Nakuru East Ward,Nakuru East Sub County,Nakuru County
jk4O2UhUcOy,22545,Biketi Dispensary,5,Keiyo Ward,Kwanza Sub County,Trans Nzoia County
KzO0UknQVjC,22549,Karaus Dispensary,5,Kwanza Ward,Kwanza Sub County,Trans Nzoia County
H5Mn5QSE0CM,23309,Joscare Medical Clinic,5,Bomani Ward,Taveta Sub County,Taita Taveta County
M4zt7WmTwTL,22903,Johry Medical Centre,5,Bomani Ward,Taveta Sub County,Taita Taveta County
EIzOritrhqE,22905,Muthangira Dispensary,5,Mugunda Ward,Kieni West Sub County,Nyeri County
Z7Lf1n3Fcpi,22907,Gemifa Medical Clinic,5,West Gem Ward,Gem Sub County,Siaya County
iIRuVXLN5Sl,21732,Pioneer medical clinic,5,Kamenu Ward,Thika Town Sub County,Kiambu County
OLpW0qgl5iU,22530,Ager community dispensary,5,Wang'chieng Ward,Karachuonyo Sub County,Homa Bay County
rsn1U89XqO4,22531,Mawego Community Medical Centre,5,Wang'chieng Ward,Karachuonyo Sub County,Homa Bay County
dfJBmvzxpNz,22532,Okita Health Center,5,Wang'chieng Ward,Karachuonyo Sub County,Homa Bay County
iZRuSincnSs,,Nangweya Medical Clinic,5,Shimanzi/Ganjoni Ward,Mvita Sub County,Mombasa County
VAA6fTZov9f,22553,Benard Vision Medical Centre,5,Kanyaluo Ward,Karachuonyo Sub County,Homa Bay County
Gog3n7bmfjm,22533,Alaro Community Dispensary,5,West Karachuonyo Ward,Karachuonyo Sub County,Homa Bay County
XWvfQ69Rn10,22590,Gingo Dispensary,5,Kaksingiri West Ward,Suba South Sub County,Homa Bay County
dLoMYi62lgK,22585,Sindo Medical Centre,5,Kaksingiri West Ward,Suba South Sub County,Homa Bay County
MblJKmnBb5u,22352,Komarock Modern Hospital Utawala,5,Utawala Ward,Embakasi East Sub County,Nairobi County
aRaEsl6oN5L,22562,Avenue Health Care Embakasi,5,Imara Daima Ward,Embakasi South Sub County,Nairobi County
EEgdQUWsTLK,17684,Hope World Wide Kenya Mukuru Clinic,5,Kwa Reuben Ward,Embakasi South Sub County,Nairobi County
R2rsYA67uem,22349,SWOP Clinic Donholm,5,Upper Savannah Ward,Embakasi East Sub County,Nairobi County
NU2AfFbhSxY,22918,Itoleka Smartext Medical Services,5,Kyangwithya West Ward,Kitui Central Sub County,Kitui County
S1wCQfiVuTd,22847,GITURA DISPENSARY,5,Kabazi Ward,Subukia Sub County,Nakuru County
wcMsR8yJszY,22920,Baraka Medical Clinic,5,Mariakani Ward,Kaloleni Sub County,Kilifi County
cJj1RtwV3o8,22041,Jakaba Medical Clinic,5,Mariakani Ward,Kaloleni Sub County,Kilifi County
nZtTdv1AuYf,22857,Saika Community Medical Centre,5,Njiru Ward,Kasarani Sub County,Nairobi County
cL5UPqjWcWn,22638,Yuni Medical Clinic,5,Nanyuki Ward,Laikipia East Sub County,Laikipia County
CfTePRgQ2oJ,22924,Clastan Medical Services,5,Baragwi Ward,Kirinyaga East Sub County,Kirinyaga County
i6ekwgYjWyS,22763,Fairview Nursing Home,5,Amalo Ward,Kuresoi South Sub County,Nakuru County
QTXNP9pYsBP,22919,Total Health Dispensary(Naivasha),5,Hellsgate Ward,Naivasha Sub County,Nakuru County
IDQHWnTCQSa,22928,KAITI DISPENSARY,5,Marmanet Ward,Laikipia West Sub County,Laikipia County
VAKx1xMbqMb,22930,Mbogoini Dispensary,5,Ol-moran Ward,Laikipia West Sub County,Laikipia County
yBSNcS0U0mp,22931,Matuiku Dispensary,5,Githiga Ward,Laikipia West Sub County,Laikipia County
ejo8ilzrk3o,22673,Professor Wasuna Clinic,5,Parklands/Highridge Ward,Westlands Sub County,Nairobi County
oibtgoz1AQ6,24162,Matooni Dispensary,5,Kyuso Ward,Mwingi North Sub County,Kitui County
lCryEYPFtw5,22925,Mt Kenya Kangema medical clinic,5,Muguru Ward,Kangema Sub County,Muranga County
xvOXeArl7he,22941,Kalukuni Dispensary,5,Kithimani Ward,Yatta Sub County,Machakos County
qacmYJYcANC,22944,Kalyambeu Dispensary,5,Ikombe Ward,Yatta Sub County,Machakos County
aLJEB1Tefhj,22939,Masaani Dispensary (Yatta),5,Katangi Ward,Yatta Sub County,Machakos County
A8ASxY8pgCr,22940,Makila Dispensary (Yatta),5,Katangi Ward,Yatta Sub County,Machakos County
m6U0cFHY5eN,22942,NYS Athiriver Yatta,5,Kithimani Ward,Yatta Sub County,Machakos County
OqukHVke1vw,22943,Kiwanza Dispensary (Yatta),5,Ndalani Ward,Yatta Sub County,Machakos County
VNxw3GkWlCv,22945,Kaluluini Dispensary,5,Matuu Ward,Yatta Sub County,Machakos County
ZEnaTQlPYZK,22766,Jimba Dispensary,5,Watamu Ward,Kilifi North Sub County,Kilifi County
HSOCc4CwUTs,22408,Sasa Centre (Kikuyu),5,Kikuyu Ward,Kikuyu Sub County,Kiambu County
U5Ydf9GmhUe,23444,Belba Dispensary,5,Njoro Ward,Njoro Sub County,Nakuru County
yM8RF07S8zw,22758,Eregi Teachers Training College Clinic,5,Idakho South Ward,Ikolomani Sub County,Kakamega County
P8a0Hl51hhe,23253,Mwisho wa Lami Dispensary,5,Mau Narok Ward,Njoro Sub County,Nakuru County
Tkx50aupWkz,22949,George Mudenyo Kadima Nasio Trust (Mumias West),5,Etenje Ward,Mumias West Sub County,Kakamega County
n9b0bUKBIZS,22849,Patema Medical Clinic,5,Timbwani Ward,Likoni Sub County,Mombasa County
R04YLLAYPOI,23871,Belladonna Pharmacy Ltd (village market),5,Karura Ward,Westlands Sub County,Nairobi County
UKPQBYHPYDx,,KAM Pharmacy IPS Building Kimathi Street,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
stC6GrqD2Ix,24360,One Health limited,5,Kilimani Ward,Dagoretti North Sub County,Nairobi County
iSdWrUbITho,,Pharmart chemist ABC Place,5,Kileleshwa Ward,Dagoretti North Sub County,Nairobi County
Ug09ltZl3nC,20734,County Gate Medical Clinic,5,Matuu Ward,Yatta Sub County,Machakos County
XpM4xzRdEMX,,Tudor Health Care,5,Shimo La Tewa Ward,Kilifi South Sub County,Kilifi County
aBdKbR8C1rG,22899,Orion Healthcare Medical Centre,5,Burumba Ward,Matayos Sub County,Busia County
lJ8iK84732s,20461,Chemoril Dispensary,5,Loiyamorok Ward,Tiaty East Sub County,Baringo County
BvfwgH5LaTc,,Mission of Hope,5,Uthiru Ward,Kabete Sub County,Kiambu County
GymFARZXM8F,22972,Sweetwaters Serena Clinic,5,Segera Ward,Laikipia North Sub County,Laikipia County
cVFUPAB2b6Z,22950,Powys Dispensary,5,Segera Ward,Laikipia North Sub County,Laikipia County
UdLjRu06EFZ,22784,Equity Afia Kayole,5,Kayole South Ward,Embakasi Central Sub County,Nairobi County
Xp7PHzoAzXx,22978,Mugie Conservancy Dispensary,5,Sosian Ward,Laikipia North Sub County,Laikipia County
Nr0vtpx3F2K,22790,Smilestar Medical Services & Dental Care,5,Githurai Ward,Roysambu Sub County,Nairobi County
EhWL8MaPwhi,22667,Machesa Dispensary,5,Benane Ward,Wajir South Sub County,Wajir County
AAzG08bSJFQ,21895,Kamwangu Dispensary,5,Muthambi Ward,Muthambi Sub County,Tharaka Nithi County
m8UQ1yUWrIF,21900,Chamunga Dispensary,5,Muthambi Ward,Muthambi Sub County,Tharaka Nithi County
mJPuHQMrHCI,21835,Weru Dispensary (Muthambi),5,Muthambi Ward,Muthambi Sub County,Tharaka Nithi County
BKqOpt4tDJq,22580,KALRO TRC Medical Clinic,5,Ang'orom Ward,Teso South Sub County,Busia County
L6WIZmxznwI,20136,AMEC Laboratories,5,Biashara Ward,Nakuru East Sub County,Nakuru County
AZl1GXjErnq,22304,Rodi Community Medical Centre,5,Homa Bay Central Ward,Homa Bay Town Sub County,Homa Bay County
Xp9dgwKWtwY,22989,Mombasa Huduma Center VCT Site,5,Mji Wa Kale/Makadara Ward,Mvita Sub County,Mombasa County
p0pl2hAw6kZ,,Closed_Duplicate_Kanyekini Dispensary,5,Kyome/Thaana Ward,Mwingi West Sub County,Kitui County
C9DzvqRzsj9,,Closed_Duplicate_Thonzweni Dispensary,5,Kyome/Thaana Ward,Mwingi West Sub County,Kitui County
pFBIoaF4ZlG,,Closed_Duplicate_Kilulu Dispensary,5,Migwani Ward,Mwingi West Sub County,Kitui County
B0GuVKEisA7,,Closed_Duplicate_Mumbuni Dispensary,5,Migwani Ward,Mwingi West Sub County,Kitui County
KnfISCkmndB,20551,Dr Osore's Clinic,5,Biashara Ward,Nakuru East Sub County,Nakuru County
NOOT6lzFK4P,23004,Jamii Bora Medical Clinic,5,Menengai Ward,Nakuru East Sub County,Nakuru County
XGsJgwHM3fs,22990,Smart Healthcare Maai Mahiu,5,Mai Mahiu Ward,Naivasha Sub County,Nakuru County
jcer7VgQ6tt,23006,Kamahuha Medical Clinic,5,Kamahuha Ward,Muranga South Sub County,Muranga County
NvawbbJxdyx,23008,Kagaa Dispensary,5,Kimorori/Wempa Ward,Muranga South Sub County,Muranga County
EbdQXtzCjrK,22898,Communuty Health Services,5,Gitugi Ward,Mathioya Sub County,Muranga County
Y8q36fpAf3t,22999,Kituni Dispensary,5,Misikhu Ward,Webuye West Sub County,Bungoma County
FjlZjdH7xkn,23009,Gikomora Dispensary,5,Ichagaki Ward,Muranga South Sub County,Muranga County
l6i7nxwmlmh,22561,St Francis Moto Hope Dispensary,5,Sirikwa Ward,Kuresoi North Sub County,Nakuru County
tm81jvLi9j0,,Hope world wide Kenya/MARPs Nyeri,5,Kamakwa/Mukaro Ward,Nyeri Central Sub County,Nyeri County
a8VZkaFM8tU,,Kangemi CNS,5,Rware Ward,Nyeri Central Sub County,Nyeri County
JgviApR7wWT,22195,Gitero Dispensary,5,Kamakwa/Mukaro Ward,Nyeri Central Sub County,Nyeri County
ApLpaP0mzpa,,Cancertect Medical centre,5,Ruring'u Ward,Nyeri Central Sub County,Nyeri County
jxY0tzAn8Qq,22694,Maisha Clinic (Ndhiwa),5,Kanyamwa Kosewe Ward,Ndhiwa Sub County,Homa Bay County
i6Ns2SvfTOn,22695,Mamas Nursing Home,5,Kanyikela Ward,Ndhiwa Sub County,Homa Bay County
znRqkAjwNQf,23842,Milimani Medical Centre,5,Kanyamwa Kosewe Ward,Ndhiwa Sub County,Homa Bay County
RpTVnEOD2g6,22870,Kenya Community Health Clinic Mck Ciothirai,5,Nyaki East Ward,Imenti North Sub County,Meru County
pegfGJvsd9B,22685,Changamwe Drop In Centre,5,Chaani Ward,Changamwe Sub County,Mombasa County
NYCaLlLVQkk,22491,Uvaani Dispensary,5,Tulimani Ward,Mbooni Sub County,Makueni County
aDWLYZT9bVS,22826,Kivani  Dispensary (Mbooni),5,Kiteta-kisau Ward,Mbooni Sub County,Makueni County
Xrl3ceu9Wtv,22817,Mwana Dispensary,5,Kiteta-kisau Ward,Mbooni Sub County,Makueni County
TZLYlf7RVq1,22992,Mituvu Dispensary,5,Waia-kako Ward,Mbooni Sub County,Makueni County
bAPnnnwyq39,22824,Kathongo Dispensary,5,Kalawa Ward,Mbooni Sub County,Makueni County
pqlqyGfUJKO,23958,Zowerani Dispensary,5,Tezo Ward,Kilifi North Sub County,Kilifi County
qYNEnVwjVVr,23335,Githuya Dispensary,5,Ichagaki Ward,Muranga South Sub County,Muranga County
YJ4xj6gzuP9,21448,Suva health services,5,Kamenu Ward,Thika Town Sub County,Kiambu County
fdkiZWf9Moi,22912,Gates of Hope Family Healthcare,5,Kamenu Ward,Thika Town Sub County,Kiambu County
Ne8epHQ6cvK,23363,Marian Medical and Dental clinic,5,Kimorori/Wempa Ward,Muranga South Sub County,Muranga County
TZ7V3opEgCj,23366,Kakuzi Limited Makuyu Dispensary,5,Makuyu Ward,Muranga South Sub County,Muranga County
P9MJl44q8pY,23388,Kirathimo Medical Clinic (Makuyu),5,Makuyu Ward,Muranga South Sub County,Muranga County
fpdoRS79Qmc,23028,Bliss Gvs Health Care Ltd (Kericho),5,Kipchebor Ward,Ainamoi Sub County,Kericho County
fWLROEJ2k0I,22966,St Ann's Catholic Dispensary (Kapsorok),5,Soliat Ward,Sigowet/Soin Sub County,Kericho County
sVeeQKc0D7o,22742,MPEG,5,Township Ward,Thika Town Sub County,Kiambu County
OVCa0H5oEK0,22908,Musuani Medical Centre,5,Kyome/Thaana Ward,Mwingi West Sub County,Kitui County
V67UkFHWjik,23033,Kamuwongo Hope Medicare Centre (Mwingi North),5,Kyuso Ward,Mwingi North Sub County,Kitui County
vyuxskMyrAT,23037,Rapha Medical Centre Matunda,5,Nzoia Ward,Likuyani Sub County,Kakamega County
wmwdIKQbzLI,24295,kamunyaka dispensary,5,Githobokoni Ward,Gatundu North Sub County,Kiambu County
y0eGlH5XYXx,23376,Trinity Medical Clinic,5,Mang'u Ward,Gatundu North Sub County,Kiambu County
sDOiOE3ONLb,24086,Health Choice Medical clinic,5,Kirimukuyu Ward,Mathira West Sub County,Nyeri County
hQu2bCbeP19,24570,Bangladesh Community Medical Clinic,5,Mikindani Ward,Jomvu Sub County,Mombasa County
AvFPcUMKxHa,16193,Jamii Medical Clinic,5,Miritini Ward,Jomvu Sub County,Mombasa County
QBBBh9xZzSE,11762,Sacred Medical Clinic,5,Miritini Ward,Jomvu Sub County,Mombasa County
JxmJMnCwQRW,,HealthAid Kunda Street,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
ILms2Tc7UQn,,Malibu Kaunda Street,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
WnOchhgZjcA,22740,Afya Bora Clinic(Busia),5,Burumba Ward,Matayos Sub County,Busia County
KbZDDnWvBht,23051,South Kinangop Medical Clinic,5,Githabai Ward,Kinangop Sub County,Nyandarua County
Wn8oiBcZ1Ow,23069,Rajuera dispensary,5,Visoi Ward,Rongai Sub County,Nakuru County
blKyYjpw5Ic,23070,Losibil dispensary,5,Soin Ward,Rongai Sub County,Nakuru County
EbQDbybQMYk,23072,Familia Bora medical centre,5,Visoi Ward,Rongai Sub County,Nakuru County
zZ6cMBB4laV,24791,Riverdale Medical Centre,5,Kileleshwa Ward,Dagoretti North Sub County,Nairobi County
QRnM3OgYypu,,TF_MyChemist Oilibiya Waiyaki Way,5,Kileleshwa Ward,Dagoretti North Sub County,Nairobi County
QYyiNcXhwYX,24449,Dr lang'o Medical Clinic,5,Kilimani Ward,Dagoretti North Sub County,Nairobi County
CH0D43vZmpX,,TF_Mychemist HQ KMA House,5,Woodley/Kenyatta Golf Course Ward,Kibra Sub County,Nairobi County
Otz2EPQEIOq,23866,Gilead Pharmaceuticals Ltd,5,Woodley/Kenyatta Golf Course Ward,Kibra Sub County,Nairobi County
AYYAOW2TaXk,,TF_MyChemist Oilibya Galleria,5,Karen Ward,Langata Sub County,Nairobi County
uLeh96PQM32,,TF_MyChemist Oilibya Langata,5,Mugumo-ini Ward,Langata Sub County,Nairobi County
zBsEoPFwY6l,,Eltons (Malibu) Reinsurance,5,Nairobi Central Ward,Starehe Sub County,Nairobi County
NLpX6Wbdcpp,23861,Easton Pharmacy (Uchumi House),5,Nairobi Central Ward,Starehe Sub County,Nairobi County
ZZ3O4zxaegm,23864,Malibu Pharmacy Limited (Moi Avenue),5,Nairobi Central Ward,Starehe Sub County,Nairobi County
OxJOEyOOlMW,23870,Dan Pharmacy Ltd (Kangemi),5,Kangemi Ward,Westlands Sub County,Nairobi County
PUFELEAvlwg,23869,TF MyChemist Oilibya (Parklands),5,Karura Ward,Westlands Sub County,Nairobi County
bNMRleHtiax,23867,Health Aid Chemist,5,Parklands/Highridge Ward,Westlands Sub County,Nairobi County
DE9gxWzRUAa,23868,Malibu Pharmacy Ltd,5,Parklands/Highridge Ward,Westlands Sub County,Nairobi County
dfoRa4lVxmq,,Hallmark Mlolongo,5,Syokimau/Mulolongo Ward,Athi River Sub County,Machakos County
